greetings,hallo daar
greetings,bedankt en tot ziens
greetings,tot later
greetings,ik dank u
greetings,daag
greetings,dag chatbot
greetings,hallo
greetings,salut
greetings,merci
greetings,hoi
greetings,bedankt voor uw dienst
greetings,goede avond
greetings,hey
geefBestemmingen,Is er een mogelijkheid om naar Noorwegen te gaan met de bus ?
geefBestemmingen,rijden er bussen naar de Efteling ?
geefBestemmingen,Geef me alle pretparken die jullie bedienen
geefBestemmingen,"Mijn lief en ik willen naar Rotterdam met de bus, is dit mogelijk ?"
geefBestemmingen,kan ik buiten Europa met de bus ?
geefBestemmingen,is Kopenhagen bereikbaar vanuit gent ?
geefBestemmingen,Is italië bereikbaar met de bus vanuit België ?
geefBestemmingen,geef me alle bestemmingen
geefBestemmingen,naar waar kan ik allemaal reizen ?
geefBestemmingen,Geef me alle skigebieden die jullie ondersteunen
geefBestemmingen,"ik woon in Antwerpen en moet naar Zaventem, kan dat ?"
geefBestemmingen,Geef me alle stops in Finland
boekBusreis,Gelieve een plaats te boeken voor mij naar Lille
boekBusreis,"Het is mooi weer dit weekend, Boek voor mij een busticket naar de zee"
boekBusreis,Ik wil 2 tickets naar de efteling voor zaterdag
boekBusreis,ik zou graag een plaats reserveren op de bus van Brugge naar Parijs van zondag
boekBusreis,Boek voor mij een ticket naar zaventem morgen
boekBusreis,Wil je voor mij een boeking plaatsen op de bus naar Parijs
boekBusreis,ik wil graag een plaats op de bus naar Parijs
boekBusreis,"Morgen zou ik graag naar Parijs gaan, wil je een ticket reserveren voor mij"
boekBusreis,Ik zou graag een plaats willen op de volgende bus naar Parijs
boekBusreis,Graag had ik 2 tickets gereserveerd voor morgen naar Lille
boekBusreis,Boek 4 tickets naar Parijs op 9 augustus
geefReisTijden,Wanneer is de eerst volgende bus van Brugge naar Lille ?
geefReisTijden,Wanneer rijden de bussen naar Rock Werchter ?
geefReisTijden,"Ik woon in Brugge en heb een vliegtuig morgenochtend in Zaventem, kan ik een bus gebruiken ?"
geefReisTijden,geef me alle bussen op zaterdag 8 augustus van Kopenhagen naar Malmö !
geefReisTijden,toon me de eerst volgende bussen van Milaan tot in Turijn ?
geefReisTijden,geef me de laatste bus morgenavond van Kopenhagen naar Malmö
geefReisTijden,Geef ons de bussen die vertrekken morgen in Gent
geefReisTijden,kan ik morgen om 17u een bus nemen naar Praag in brussel ?
geefReisTijden,Mag ik alle bussen van en naar de Efteling vanuit Brussel ?
geefReisTijden,Zijn er vannacht bussen tussen Parijs en Arras ?
geefReisTijden,Hoe laat is de bus van Brugge naar Lille zondag ?
geefActueleInfo,Wanneer komt mijn bus ?
geefActueleInfo,Zit mijn bus al vol ?
geefActueleInfo,Zijn er vertragingen door het slechte weer vandaag ?
geefActueleInfo,Ik wil weten waarom mijn bus niet komt. Ik ben aan het wachten in Gent
geefActueleInfo,geef me alle actuele reisinformatie
geefActueleInfo,Wat is de stand van zaken rond vertragingen ?
geefActueleInfo,Rijden alle bussen nog tijdens de tijden van het coronavirus ?
geefActueleInfo,zijn alle bussen vanuit Brugge op tijd ?
geefActueleInfo,Is er nog plaats op de eerstvolgende bus van Kopenhagen naar Bergen
geefActueleInfo,vertragingen in Amsterdam 
geefActueleInfo,geef me alle vertragingen
geefActueleInfo,Zullen alle bussen rijden door het stormweer ?
geefOnboardServices,Waarmee kan ik me bezighouden tijdens de rit ?
geefOnboardServices,Geef me alle entertainment mogelijkheden
geefOnboardServices,Gelieve me alle bezigheden op de bus te geven
geefOnboardServices,kan ik een film kijken tijdens mijn busreis ?
geefOnboardServices,Wat kunnen mijn kinderen doen op de bus ?
geefOnboardServices,Geef me alle gratis diensten op de bus voor tijdens de rit
geefOnboardServices,Is er een mogelijkheid om audioboeken te beluisteren
geefOnboardServices,Geef me alle onboard services
geefOnboardServices,Graag had ik een overzicht van alle onboard diensten
geefOnboardServices,Is er gratis Wi-Fi op de bus ?
geefOnboardServices,Welke services bieden jullie aan op de bus ?
geefOnboardServices,"Ik zou graag E-books lezen, kan ik dat op de bus ?"
wijzigBusreis,Ik zou graag een andere dag boeken voor mijn busreis
wijzigBusreis,Graag een wijziging in mijn huidige boeking
wijzigBusreis,Gelieve de busreis te wijzigen naar morgen
wijzigBusreis,Gelieve mijn boeking een week te verplaatsen
wijzigBusreis,"Ik heb een ticket voor de bus van Brugge naar Antwerpen, maar ik zou graag een andere dag gaan, omdat het slecht weer zal zijn"
wijzigBusreis,"het is slecht weer vandaag, Verplaats de busreis met een week"
wijzigBusreis,Morgen zou ik graag een uur later de bus nemen
wijzigBusreis,Ik wil een andere bus reserveren
wijzigBusreis,Graag een bus op een ander tijdstip?
wijzigBusreis,Boek een betere stoel met meer beenruimte
wijzigBusreis,boek een andere stoel voor mijn boeking
huurBusMetChauffeur,Ik zou graag een bus met chauffeur huren voor een dag
huurBusMetChauffeur,Is het mogelijk een bus vast te leggen met een bestuurder
huurBusMetChauffeur,Geef me alle mogelijkheden om een bus met een chauffeur te huren
huurBusMetChauffeur,indien mogelijk zouden we graag een bus huren om een daguitstap te doen
huurBusMetChauffeur,ik wil een bus met chauffeur boeken
huurBusMetChauffeur,Ik zou graag een bus huren voor een groepsuitstap
huurBusMetChauffeur,Geef me de mogelijkheden om een bus te huren voor een groep kinderen naar een pretpark
huurBusMetChauffeur,Voor een teamactiviteit wil ik graag een bus huren bij jullie
huurBusMetChauffeur,geef me de prijs van een bus met chauffeur voor 1 dag in het binnenland
huurBusMetChauffeur,Indien mogelijk zou ik graag een bus met chauffeur huren voor schoolreis
huurBusMetChauffeur,Is er een mogelijkheid om een bus te huren met een chauffeur voor een skireis
huurBusMetChauffeur,Voor een excursie wil ik een bus met een chauffeur huren
huurBusMetChauffeur,Boek een bus met chauffeur voor volgende week zondag
huurBusMetChauffeur,Gelieve een bus met chauffeur te reserveren voor volgende week
annuleerBusreis,"Ik heb een busreis geboekt met mijn kinderen, maar door het slechte weer zou ik die graag annuleren"
annuleerBusreis,"Morgen had ik een bus ticket geboekt, gelieve dat te annuleren"
annuleerBusreis,Ik zou graag mijn bus afzeggen doordat mijn kinderen ziek zijn
annuleerBusreis,Ik zou graag de busreis naar Parijs van morgen annuleren
annuleerBusreis,Schaf mijn bus voor morgen naar Zaventem af
annuleerBusreis,Graag had ik een annulering van mijn busreis morgen
annuleerBusreis,Zeg mijn busreis af voor morgen
annuleerBusreis,Ik wil mijn bus afzeggen
annuleerBusreis,Zeg mijn reservering voor morgen af naar Parijs
annuleerBusreis,Gelieve mijn boeking te annuleren
annuleerBusreis,Morgen zou ik graag mijn bus afzeggen
annuleerBusreis,"De Efteling is gesloten, ik wil mijn bus afschaffen"
meldKlachten,Bus komt niet opdagen
meldKlachten,De bus stonk enorm tijdens mijn reis !
meldKlachten,De bus heeft intussen al 2 uur vertraging en wij weten van niets
meldKlachten,Bus voorziet geen beenruimte voor grotere mensen !
meldKlachten,Mijn bus komt niet af !
meldKlachten,Ik krijg te horen dat mijn bus geannuleerd is zonder alternatieve oplossing
meldKlachten,"Het was ontzettend koud in de bus, chauffeur wou niet helpen"
meldKlachten,Chauffeur spreekt geen nederlands
meldKlachten,Mijn valies is gestolen
meldKlachten,Zeer onvriendelijke en agressieve chauffeur
meldKlachten,"Na 2,5 uur wachten is er nog steeds geen bus!"
meldKlachten,Ik ben heel slecht behandeld door de buschauffeur!
